id_team_h,id_team_v,pts_h,pts_v,w_h,w_v
20,1,99,121,0,1
12,18,101,91,1,0
8,25,125,118,1,0
29,13,105,96,1,0
6,30,99,118,0,1
20,10,127,121,1,0
9,21,110,95,1,0
29,20,86,77,1,0
29,30,99,102,0,1
1,16,113,121,0,1
5,26,77,97,0,1
26,24,106,96,1,0
16,18,108,104,1,0
18,9,114,107,1,0
16,10,99,93,1,0
29,1,111,116,0,1
5,2,89,80,1,0
21,5,95,91,1,0
27,6,109,92,1,0
28,3,101,98,1,0
16,11,111,114,0,1
18,13,114,91,1,0
18,26,97,86,1,0
8,7,110,96,1,0
28,1,103,95,1,0
26,9,93,104,0,1
22,30,110,92,1,0
9,6,117,119,0,1
2,5,114,104,1,0
16,24,111,96,1,0
23,8,117,113,1,0
5,30,113,106,1,0
21,27,110,98,1,0
13,16,112,120,0,1
2,28,118,110,1,0
1,18,100,87,1,0
2,3,90,85,1,0
21,7,98,102,0,1
13,20,108,99,1,0
17,29,109,107,1,0
11,3,140,126,1,0
29,5,79,99,0,1
30,26,104,86,1,0
7,5,107,110,0,1
28,27,107,87,1,0
16,18,132,89,1,0
2,20,108,112,0,1
16,9,119,100,1,0
7,30,129,104,1,0
11,20,98,106,0,1
16,21,89,82,1,0
7,11,114,108,1,0
22,17,115,119,0,1
5,10,92,95,0,1
28,26,105,102,1,0
13,1,104,95,1,0
16,5,106,103,1,0
14,6,87,97,0,1
17,16,118,116,1,0
26,6,117,102,1,0
23,10,101,134,0,1
5,6,99,97,1,0
10,17,106,96,1,0
23,9,99,103,0,1
23,11,121,97,1,0
3,11,101,100,1,0
18,2,121,101,1,0
28,24,120,98,1,0
12,11,89,87,1,0
7,26,91,97,0,1
21,5,101,96,1,0
16,20,110,105,1,0
1,30,105,110,0,1
20,16,106,85,1,0
16,13,113,96,1,0
23,21,85,69,1,0
17,18,107,100,1,0
18,29,116,111,1,0
1,28,100,99,1,0
14,5,84,96,0,1
9,6,103,113,0,1
1,5,133,132,1,0
28,17,101,122,0,1
11,16,106,82,1,0
3,21,105,141,0,1
2,11,109,117,0,1
22,20,107,89,1,0
17,2,98,105,0,1
10,26,116,112,1,0
9,10,117,92,1,0
25,28,88,93,0,1
11,27,108,103,1,0
5,2,115,108,1,0
21,29,95,86,1,0
3,5,88,104,0,1
28,1,95,92,1,0
20,18,129,122,1,0
30,2,104,116,0,1
20,18,130,110,1,0
22,1,108,91,1,0
16,28,63,65,0,1
6,13,106,114,0,1
29,28,96,85,1,0
9,21,109,112,0,1
4,28,96,102,0,1
28,1,101,118,0,1
28,2,139,140,0,1
3,18,102,108,0,1
19,5,105,111,0,1
27,10,103,106,0,1
28,30,106,104,1,0
1,29,92,95,0,1
11,9,114,93,1,0
2,16,92,93,0,1
7,11,117,126,0,1
14,1,84,83,1,0
5,29,106,119,0,1
9,13,106,89,1,0
11,21,104,87,1,0
23,11,96,100,0,1
3,10,89,105,0,1
16,14,94,99,0,1
29,18,120,96,1,0
5,10,91,97,0,1
29,1,134,111,1,0
21,8,108,122,0,1
18,3,120,132,0,1
9,13,120,104,1,0
3,19,87,103,0,1
22,13,111,104,1,0
6,26,111,95,1,0
8,3,116,98,1,0
8,11,108,106,1,0
6,27,103,104,0,1
18,20,97,115,0,1
19,20,120,105,1,0
11,7,84,113,0,1
25,28,109,104,1,0
14,27,104,79,1,0
29,10,131,123,1,0
12,1,73,87,0,1
12,23,79,72,1,0
11,9,115,109,1,0
11,6,114,103,1,0
20,10,124,93,1,0
3,1,90,102,0,1
26,18,110,88,1,0
26,6,83,101,0,1
21,6,92,132,0,1
16,3,117,127,0,1
10,1,96,112,0,1
26,9,104,83,1,0
16,29,120,108,1,0
5,13,99,92,1,0
1,16,107,122,0,1
13,29,84,93,0,1
16,22,118,91,1,0
26,14,108,110,0,1
8,10,99,103,0,1
11,3,108,120,0,1
27,19,101,83,1,0
7,3,144,127,1,0
14,7,92,106,0,1
7,20,106,109,0,1
17,5,135,129,1,0
11,9,90,110,0,1
28,12,89,100,0,1
7,22,110,100,1,0
9,25,107,97,1,0
20,8,99,115,0,1
12,5,75,93,0,1
7,11,118,126,0,1
13,11,124,127,0,1
13,7,87,94,0,1
23,6,93,76,1,0
5,16,109,90,1,0
14,4,84,92,0,1
5,30,103,97,1,0
2,5,100,80,1,0
22,27,104,87,1,0
30,13,97,81,1,0
8,1,114,95,1,0
29,1,111,88,1,0
7,24,104,110,0,1
24,28,109,102,1,0
21,7,94,97,0,1
13,2,132,127,1,0
1,28,97,114,0,1
11,10,119,100,1,0
9,10,93,75,1,0
5,10,106,112,0,1
30,25,113,78,1,0
11,16,94,98,0,1
21,8,118,110,1,0
29,5,112,91,1,0
20,26,96,99,0,1
2,26,101,89,1,0
12,17,96,76,1,0
11,5,100,107,0,1
2,1,86,97,0,1
25,19,96,106,0,1
7,29,117,121,0,1
18,11,114,120,0,1
20,21,119,107,1,0
3,10,90,69,1,0
19,7,105,98,1,0
16,13,114,100,1,0
2,1,107,109,0,1
11,8,123,113,1,0
2,7,107,123,0,1
29,5,122,105,1,0
18,2,97,83,1,0
28,2,103,102,1,0
8,20,110,99,1,0
29,5,100,91,1,0
1,29,105,110,0,1
25,13,96,93,1,0
10,11,86,87,0,1
2,11,139,107,1,0
10,22,121,111,1,0
26,3,97,102,0,1
11,10,91,89,1,0
5,20,115,100,1,0
21,28,100,96,1,0
20,8,122,115,1,0
15,2,76,93,0,1
29,16,87,102,0,1
11,1,111,89,1,0
3,28,114,91,1,0
10,9,109,95,1,0
28,12,95,65,1,0
21,5,93,95,0,1
17,28,101,92,1,0
21,3,125,102,1,0
19,11,93,87,1,0
10,2,102,100,1,0
11,5,136,111,1,0
20,16,113,111,1,0
16,28,85,79,1,0
10,18,112,101,1,0
13,7,143,95,1,0
22,23,114,110,1,0
7,16,106,78,1,0
14,21,103,102,1,0
14,6,101,92,1,0
17,29,96,103,0,1
18,7,124,88,1,0
5,13,107,101,1,0
13,6,106,112,0,1
3,18,118,100,1,0
9,1,107,102,1,0
12,6,110,104,1,0
3,2,117,139,0,1
26,7,98,96,1,0
18,5,113,117,0,1
18,6,104,99,1,0
18,29,91,86,1,0
9,23,75,85,0,1
21,14,105,95,1,0
26,17,114,107,1,0
21,20,133,104,1,0
20,8,117,101,1,0
12,15,110,99,1,0
16,28,111,95,1,0
29,19,119,104,1,0
22,14,120,100,1,0
13,1,98,95,1,0
14,4,120,110,1,0
9,28,100,98,1,0
6,14,110,113,0,1
22,27,95,113,0,1
22,7,116,114,1,0
28,12,105,108,0,1
21,2,116,131,0,1
16,6,102,83,1,0
18,3,98,104,0,1
9,3,99,92,1,0
3,12,123,109,1,0
13,3,127,105,1,0
10,6,119,115,1,0
20,10,110,93,1,0
11,6,114,107,1,0
23,26,87,80,1,0
11,20,111,105,1,0
13,19,116,106,1,0
