id_team_h,id_team_v,pts_h,pts_v,w_h,w_v
52,2,105,106,0,1
9,5,99,110,0,1
20,21,118,119,0,1
3,51,122,98,1,0
53,16,114,98,1,0
2,20,107,97,1,0
55,1,118,115,1,0
16,21,110,106,1,0
5,11,103,89,1,0
13,3,118,100,1,0
51,56,113,106,1,0
29,11,106,98,1,0
65,20,98,107,0,1
9,52,139,107,1,0
56,13,113,116,0,1
11,55,106,111,0,1
29,65,107,105,1,0
52,1,124,120,1,0
5,16,84,83,1,0
3,21,121,102,1,0
53,9,116,138,0,1
51,20,106,125,0,1
55,13,102,93,1,0
16,51,125,97,1,0
65,21,128,110,1,0
5,20,122,100,1,0
11,13,91,82,1,0
29,9,129,112,1,0
52,5,85,88,0,1
3,2,92,105,0,1
53,21,115,111,1,0
56,20,109,111,0,1
11,56,103,107,0,1
1,52,131,130,1,0
16,2,123,91,1,0
29,55,114,100,1,0
65,3,99,95,1,0
21,5,110,125,0,1
51,9,105,112,0,1
2,55,118,111,1,0
20,56,107,109,0,1
13,52,124,110,1,0
53,65,102,96,1,0
13,16,114,100,1,0
11,5,108,88,1,0
55,56,117,112,1,0
29,2,101,115,0,1
21,3,106,92,1,0
53,1,107,130,0,1
51,52,120,139,0,1
1,9,136,125,1,0
55,5,116,117,0,1
16,65,75,97,0,1
29,52,113,115,0,1
11,3,127,84,1,0
1,53,138,130,1,0
2,51,125,113,1,0
65,16,106,97,1,0
9,13,101,116,0,1
21,29,109,113,0,1
20,5,117,118,0,1
55,29,108,93,1,0
16,52,106,94,1,0
20,3,110,102,1,0
13,5,96,88,1,0
21,11,102,114,0,1
51,2,112,127,0,1
9,3,100,118,0,1
53,16,94,120,0,1
1,21,135,129,1,0
56,65,105,93,1,0
51,5,112,102,1,0
20,2,134,141,0,1
11,2,111,119,0,1
9,65,104,109,0,1
13,21,116,96,1,0
53,5,84,104,0,1
1,55,117,113,1,0
16,56,125,102,1,0
65,5,99,105,0,1
9,3,131,116,1,0
20,29,110,117,0,1
53,52,96,106,0,1
51,21,106,101,1,0
11,29,141,117,1,0
2,16,122,107,1,0
9,1,129,118,1,0
53,55,93,97,0,1
13,20,126,95,1,0
16,20,115,111,1,0
65,56,103,99,1,0
5,52,104,89,1,0
21,55,101,109,0,1
3,1,115,107,1,0
51,11,112,121,0,1
2,65,111,107,1,0
29,11,112,121,0,1
53,20,114,120,0,1
55,9,141,125,1,0
11,16,98,109,0,1
1,20,135,127,1,0
29,51,121,100,1,0
65,2,103,97,1,0
52,55,116,106,1,0
21,9,141,128,1,0
3,56,114,99,1,0
5,13,91,99,0,1
55,16,108,117,0,1
5,29,97,99,0,1
53,65,115,120,0,1
51,3,97,114,0,1
11,20,131,113,1,0
1,13,104,105,0,1
2,56,109,105,1,0
29,5,107,119,0,1
65,53,129,118,1,0
52,9,121,112,1,0
21,16,99,96,1,0
3,51,102,101,1,0
13,29,118,99,1,0
56,21,106,105,1,0
1,11,114,112,1,0
2,9,94,89,1,0
55,52,114,106,1,0
5,21,123,109,1,0
3,53,131,105,1,0
56,51,119,115,1,0
2,5,106,105,1,0
16,1,93,98,0,1
29,21,122,109,1,0
65,9,110,118,0,1
52,13,96,119,0,1
53,3,109,112,0,1
56,11,118,124,0,1
20,51,134,124,1,0
55,13,98,108,0,1
11,51,121,101,1,0
2,1,124,108,1,0
52,21,112,118,0,1
20,55,125,124,1,0
3,65,104,106,0,1
53,9,112,132,0,1
1,5,113,111,1,0
55,51,106,101,1,0
16,2,103,108,0,1
29,56,110,98,1,0
65,3,120,116,1,0
65,1,112,105,1,0
52,11,93,109,0,1
9,2,121,125,0,1
20,13,112,114,0,1
53,29,96,115,0,1
3,5,112,105,1,0
21,51,113,107,1,0
55,20,114,120,0,1
21,13,99,118,0,1
11,13,84,85,0,1
1,2,110,117,0,1
65,29,98,112,0,1
9,51,121,111,1,0
5,3,121,105,1,0
2,65,120,101,1,0
55,11,89,96,0,1
52,20,125,127,0,1
9,51,138,122,1,0
3,29,119,131,0,1
1,69,128,114,1,0
16,29,101,100,1,0
5,11,97,117,0,1
51,9,107,105,1,0
20,52,115,111,1,0
53,9,88,104,0,1
56,5,90,105,0,1
1,11,129,102,1,0
2,51,118,112,1,0
29,1,122,105,1,0
52,69,103,102,1,0
20,13,84,107,0,1
3,9,99,106,0,1
56,5,88,84,1,0
1,56,102,117,0,1
55,13,85,97,0,1
16,9,85,86,0,1
5,29,101,94,1,0
21,69,132,87,1,0
53,2,106,111,0,1
51,11,122,125,0,1
52,13,109,100,1,0
20,55,95,120,0,1
3,29,83,95,0,1
16,51,117,91,1,0
9,53,101,106,0,1
52,56,106,108,0,1
13,55,109,95,1,0
11,52,118,91,1,0
2,53,133,102,1,0
29,13,94,96,0,1
5,69,117,103,1,0
21,56,111,99,1,0
3,16,90,92,0,1
55,56,100,81,1,0
16,5,69,85,0,1
69,2,96,87,1,0
9,29,104,107,0,1
20,1,118,108,1,0
13,3,101,88,1,0
21,52,123,108,1,0
51,53,116,110,1,0
11,1,100,119,0,1
69,5,99,107,0,1
52,20,116,112,1,0
55,20,121,109,1,0
16,69,84,101,0,1
9,11,98,107,0,1
3,21,103,96,1,0
2,9,117,132,0,1
52,1,106,131,0,1
20,29,99,115,0,1
13,51,130,113,1,0
53,21,132,110,1,0
56,11,91,92,0,1
11,29,94,92,1,0
2,16,113,101,1,0
52,55,110,117,0,1
5,9,121,113,1,0
21,1,127,110,1,0
53,13,92,98,0,1
56,20,98,93,1,0
51,3,104,97,1,0
55,1,116,125,0,1
16,53,96,90,1,0
9,5,92,102,0,1
13,20,104,95,1,0
21,29,98,111,0,1
3,51,101,111,0,1
11,21,111,98,1,0
69,53,119,99,1,0
52,29,93,115,0,1
3,2,102,99,1,0
56,51,100,112,0,1
1,20,122,101,1,0
21,11,114,112,1,0
56,13,78,112,0,1
51,52,105,103,1,0
2,3,128,110,1,0
29,52,114,107,1,0
9,16,91,102,0,1
11,16,91,106,0,1
2,55,108,105,1,0
29,20,114,107,1,0
9,1,123,125,0,1
5,51,107,97,1,0
3,13,100,118,0,1
56,52,109,115,0,1
1,2,109,122,0,1
5,3,105,94,1,0
21,16,107,100,1,0
53,69,84,112,0,1
13,29,123,115,1,0
51,55,121,124,0,1
11,9,106,93,1,0
69,20,102,99,1,0
52,16,106,111,0,1
3,1,110,115,0,1
56,55,91,92,0,1
5,51,101,95,1,0
3,11,115,96,1,0
52,51,130,113,1,0
9,69,97,111,0,1
13,11,109,92,1,0
53,20,122,115,1,0
1,29,115,129,0,1
55,5,111,112,0,1
16,2,84,94,0,1
2,20,122,107,1,0
52,11,111,118,0,1
21,51,122,108,1,0
53,16,94,91,1,0
3,9,111,106,1,0
56,69,96,109,0,1
1,53,120,97,1,0
2,29,102,97,1,0
55,51,128,105,1,0
16,3,100,90,1,0
13,56,84,83,1,0
21,5,104,106,0,1
69,13,91,110,0,1
52,5,98,116,0,1
3,56,93,103,0,1
55,3,128,115,1,0
16,52,104,102,1,0
9,53,97,83,1,0
20,5,116,108,1,0
13,21,108,100,1,0
51,1,121,114,1,0
2,52,110,104,1,0
29,21,108,111,0,1
56,9,118,116,1,0
1,21,123,114,1,0
16,51,97,86,1,0
20,53,116,94,1,0
11,5,118,102,1,0
2,13,105,90,1,0
29,56,125,98,1,0
52,3,117,93,1,0
1,69,109,115,0,1
55,53,106,109,0,1
16,13,100,93,1,0
9,21,87,96,0,1
20,11,110,130,0,1
56,2,110,123,0,1
51,29,94,98,0,1
11,3,102,100,1,0
29,5,102,104,0,1
69,51,101,112,0,1
52,53,95,91,1,0
16,11,105,89,1,0
5,21,106,101,1,0
13,55,105,108,0,1
56,53,103,109,0,1
51,20,127,100,1,0
29,20,107,104,1,0
69,11,97,106,0,1
56,53,90,103,0,1
1,55,99,101,0,1
9,3,96,104,0,1
13,16,107,91,1,0
21,52,131,125,1,0
2,56,119,102,1,0
69,1,101,86,1,0
52,21,127,106,1,0
9,3,83,85,0,1
5,20,94,99,0,1
53,55,106,111,0,1
1,13,92,112,0,1
16,55,99,107,0,1
21,11,108,113,0,1
51,56,143,131,1,0
5,29,114,112,1,0
11,21,137,109,1,0
69,16,109,81,1,0
13,53,105,96,1,0
3,2,101,107,0,1
56,52,99,104,0,1
9,20,125,111,1,0
5,55,123,117,1,0
3,52,120,118,1,0
56,1,110,129,0,1
51,13,110,115,0,1
1,51,130,106,1,0
2,69,111,104,1,0
16,9,106,114,0,1
29,3,91,96,0,1
13,52,127,93,1,0
53,5,101,96,1,0
55,21,119,89,1,0
20,56,119,99,1,0
11,56,123,107,1,0
9,29,110,95,1,0
5,16,115,97,1,0
13,2,117,93,1,0
21,20,99,107,0,1
3,53,112,110,1,0
51,69,113,121,0,1
1,52,120,110,1,0
2,5,120,98,1,0
55,56,120,108,1,0
16,3,119,99,1,0
20,29,109,121,0,1
21,11,134,115,1,0
53,9,108,106,1,0
11,29,108,114,0,1
69,52,98,96,1,0
3,9,104,130,0,1
11,20,120,103,1,0
55,29,93,112,0,1
16,21,113,100,1,0
5,52,130,107,1,0
13,9,124,109,1,0
2,16,119,97,1,0
9,69,119,99,1,0
20,55,103,97,1,0
53,3,75,89,0,1
56,1,117,105,1,0
51,21,114,110,1,0
52,29,108,110,0,1
5,53,103,98,1,0
11,52,111,115,0,1
2,1,116,112,1,0
20,69,114,92,1,0
13,21,116,86,1,0
53,56,102,113,0,1
