id_team_h,id_team_v,pts_h,pts_v,w_h,w_v
27,4,105,102,1,0
11,5,108,122,0,1
17,10,117,120,0,1
13,16,100,103,0,1
23,14,95,79,1,0
28,3,99,100,0,1
28,11,104,106,0,1
11,13,116,93,1,0
5,7,94,97,0,1
2,18,94,87,1,0
29,20,109,120,0,1
25,2,96,116,0,1
30,12,79,89,0,1
19,12,113,86,1,0
5,16,86,91,0,1
21,17,104,89,1,0
6,1,122,100,1,0
13,7,100,106,0,1
11,9,100,114,0,1
8,10,122,112,1,0
7,10,139,93,1,0
7,10,102,104,0,1
1,22,109,121,0,1
3,30,99,89,1,0
25,1,94,91,1,0
6,23,81,88,0,1
13,22,140,82,1,0
29,28,99,106,0,1
19,14,120,108,1,0
9,11,120,107,1,0
25,3,75,69,1,0
17,12,103,112,0,1
9,11,88,89,0,1
13,15,98,107,0,1
8,5,93,88,1,0
9,21,110,120,0,1
10,16,115,124,0,1
28,18,102,110,0,1
29,13,115,105,1,0
7,11,108,121,0,1
11,5,98,91,1,0
27,6,96,91,1,0
18,29,112,101,1,0
14,11,99,104,0,1
20,6,119,118,1,0
9,5,106,100,1,0
14,8,86,102,0,1
21,3,106,92,1,0
12,19,82,84,0,1
2,11,103,108,0,1
12,7,107,100,1,0
9,12,110,113,0,1
12,20,115,98,1,0
8,20,110,118,0,1
11,29,94,89,1,0
22,30,101,91,1,0
9,20,105,100,1,0
13,25,100,83,1,0
25,21,87,90,0,1
19,25,93,91,1,0
16,29,124,116,1,0
11,10,101,110,0,1
21,11,103,110,0,1
2,11,120,93,1,0
17,7,129,122,1,0
22,25,107,92,1,0
11,13,109,107,1,0
29,28,109,85,1,0
21,12,115,99,1,0
11,5,120,118,1,0
22,24,94,93,1,0
7,9,98,116,0,1
25,5,99,89,1,0
19,16,80,71,1,0
16,17,108,103,1,0
17,12,98,99,0,1
5,3,121,80,1,0
28,12,106,118,0,1
5,1,112,110,1,0
16,9,107,111,0,1
17,8,111,94,1,0
21,3,118,94,1,0
16,7,96,108,0,1
17,5,102,89,1,0
23,6,112,83,1,0
18,3,82,80,1,0
12,18,84,80,1,0
1,6,110,102,1,0
11,20,131,113,1,0
26,11,101,89,1,0
11,20,134,116,1,0
20,3,107,129,0,1
16,3,107,112,0,1
6,29,82,100,0,1
9,11,94,97,0,1
22,24,114,112,1,0
19,7,77,86,0,1
2,19,78,80,0,1
13,18,102,98,1,0
13,2,116,108,1,0
24,12,93,75,1,0
25,30,91,98,0,1
14,9,125,129,0,1
5,13,103,132,0,1
17,13,106,99,1,0
14,26,84,93,0,1
28,5,101,126,0,1
14,21,83,88,0,1
19,1,94,83,1,0
6,27,110,89,1,0
30,24,123,112,1,0
2,13,104,92,1,0
3,17,104,116,0,1
18,28,105,83,1,0
13,19,99,114,0,1
7,5,128,96,1,0
8,14,96,85,1,0
21,10,103,99,1,0
14,21,110,109,1,0
16,5,92,102,0,1
13,22,116,123,0,1
18,17,97,84,1,0
25,2,96,90,1,0
3,21,117,118,0,1
29,22,122,97,1,0
29,15,111,113,0,1
7,24,112,99,1,0
20,2,118,102,1,0
18,25,106,90,1,0
19,15,124,127,0,1
10,3,106,105,1,0
7,10,123,96,1,0
22,14,100,118,0,1
4,21,100,77,1,0
2,30,134,106,1,0
2,12,79,91,0,1
3,26,99,92,1,0
11,1,101,111,0,1
16,5,112,103,1,0
29,1,114,118,0,1
17,29,112,102,1,0
5,11,97,117,0,1
28,30,88,92,0,1
18,17,117,107,1,0
28,19,103,109,0,1
29,13,110,87,1,0
26,23,65,83,0,1
11,3,104,99,1,0
13,12,105,97,1,0
22,9,95,90,1,0
22,9,98,115,0,1
19,18,106,104,1,0
14,7,93,96,0,1
10,21,88,113,0,1
5,25,103,95,1,0
2,28,128,133,0,1
10,1,98,107,0,1
12,29,96,119,0,1
29,3,104,94,1,0
15,7,111,124,0,1
22,25,123,97,1,0
28,14,104,100,1,0
3,8,96,105,0,1
11,20,118,93,1,0
19,25,115,106,1,0
22,11,113,101,1,0
3,28,102,110,0,1
12,17,73,90,0,1
26,6,114,122,0,1
16,18,98,96,1,0
21,26,122,108,1,0
24,16,97,119,0,1
6,25,120,123,0,1
17,13,94,85,1,0
13,29,94,98,0,1
11,17,101,84,1,0
20,21,85,77,1,0
2,13,96,91,1,0
25,16,107,84,1,0
12,20,124,99,1,0
13,5,125,105,1,0
27,16,104,118,0,1
18,3,109,73,1,0
19,3,89,105,0,1
8,26,91,78,1,0
13,16,119,107,1,0
13,23,99,88,1,0
29,1,96,112,0,1
8,14,97,105,0,1
10,20,124,84,1,0
16,11,101,96,1,0
7,28,116,105,1,0
20,29,128,122,1,0
30,12,99,112,0,1
13,29,102,93,1,0
22,12,102,115,0,1
22,6,110,109,1,0
9,1,123,125,0,1
9,16,103,94,1,0
14,16,103,92,1,0
12,6,86,93,0,1
18,5,89,101,0,1
12,28,118,112,1,0
4,20,111,106,1,0
14,28,109,74,1,0
16,18,118,111,1,0
13,6,99,113,0,1
21,11,99,102,0,1
13,28,95,108,0,1
12,7,108,91,1,0
2,5,107,100,1,0
16,14,94,91,1,0
2,25,94,96,0,1
7,10,115,127,0,1
11,2,109,102,1,0
14,17,92,95,0,1
11,9,104,88,1,0
9,3,92,96,0,1
16,29,92,88,1,0
10,13,78,87,0,1
9,20,131,115,1,0
21,20,128,123,1,0
2,10,135,108,1,0
28,12,117,113,1,0
11,9,89,93,0,1
19,23,112,106,1,0
6,1,105,113,0,1
29,10,97,84,1,0
18,25,90,102,0,1
